original_station_name,included,Latitude,Longitude,original_network_id,Elev_m,record_start,record_end,record_length,etr_obs_count,gridmet_comparison_notes,Source,State,correction_notes,wind_instrumentation
Scott Valley,TRUE,41.57778,-122.838,225,833.0184,04/20/15 12:00 AM,12/31/18 12:00 AM,3.698912366,1345,,CIMIS,CA,Default corrections,#014A Met-One
Woodland,TRUE,38.67272,-121.812,226,24.9936,05/10/11 12:00 AM,12/31/18 12:00 AM,7.644236364,2711,,CIMIS,CA,Removed small bad ea section,#014A Met-One
Plymouth,TRUE,38.50833,-120.8,227,463.296,01/02/11 12:00 AM,12/31/18 12:00 AM,7.99468846,2856,,CIMIS,CA,Default correcitons,#014A Met-One
Diamond Springs,TRUE,38.63611,-120.793,228,624.84,09/29/10 12:00 AM,12/31/18 12:00 AM,8.254789626,2977,,CIMIS,CA,Default corrections,#014A Met-One
Laguna Seca,TRUE,36.5701,-121.786,229,97.536,10/25/11 12:00 AM,12/31/18 12:00 AM,7.184267986,2493,,CIMIS,CA,Default corrections,#014A Met-One
Santa Barbara II,TRUE,34.40556,-119.715,230,134.112,01/10/11 12:00 AM,12/31/17 12:00 AM,6.973449147,2391,,CIMIS,CA,Removed precipitation spikes later in record,#014A Met-One
Lompoc,TRUE,34.67222,-120.513,231,16.764,07/17/10 12:00 AM,12/31/18 12:00 AM,8.457394745,2750,,CIMIS,CA,Removed flat uz section,#014A Met-One
Santa Maria II,TRUE,34.91347,-120.465,232,65.532,04/02/11 12:00 AM,12/31/18 12:00 AM,7.74827683,2569,,CIMIS,CA,Removed two flat uz sections,#014A Met-One
Newberry Springs II,TRUE,34.88347,-116.81,234,588.264,02/27/15 12:00 AM,12/31/18 12:00 AM,3.841283531,1381,Station is a bullseye because gridmet uz is extremely low,CIMIS,CA,Default corr,#014A Met-One
Verona,TRUE,38.79794,-121.611,235,7.3152,05/19/12 12:00 AM,12/31/18 12:00 AM,6.617521236,2400,,CIMIS,CA,Default coor,#014A Met-One
Macdoel II,TRUE,41.80248,-121.996,236,1299.972,04/18/15 12:00 AM,12/31/18 12:00 AM,3.70438818,1346,,CIMIS,CA,Default corr,#014A Met-One
Temecula East III,TRUE,33.55281,-117.043,237,466.344,10/26/12 12:00 AM,12/30/18 12:00 AM,6.176718208,2165,,CIMIS,CA,Removed flat uz section,#014A Met-One
Moreno Valley,TRUE,33.89991,-117.171,238,488.8992,04/19/13 12:00 AM,12/28/17 12:00 AM,4.69277261,1479,,CIMIS,CA,Removed bad ea values in one section,#014A Met-One
Hemet,TRUE,33.66475,-116.955,239,538.8864,01/23/15 12:00 AM,12/31/18 12:00 AM,3.937110276,1384,,CIMIS,CA,default corr,#014A Met-One
Perris - Menifee,TRUE,33.75631,-117.197,240,433.1208,05/25/13 12:00 AM,12/31/18 12:00 AM,5.601757736,1697,,CIMIS,CA,removed depressed section of uz data,#014A Met-One
San Clemente,TRUE,33.46241,-117.586,241,68.2752,07/01/15 12:00 AM,12/31/18 12:00 AM,3.501783062,1235,,CIMIS,CA,default corr,#014A Met-One
Staten Island,TRUE,38.19239,-121.51,242,-3.048,11/07/15 12:00 AM,12/31/18 12:00 AM,3.148593058,1149,,CIMIS,CA,default corr,#014A Met-One
Ryde,TRUE,38.24962,-121.556,243,-3.048,01/02/16 12:00 AM,12/31/18 12:00 AM,2.995270266,1089,,CIMIS,CA,Removed section of bad ea data,#014A Met-One
Biggs,TRUE,39.38663,-121.835,244,21.9456,06/20/15 12:00 AM,12/31/18 12:00 AM,3.531900039,1263,,CIMIS,CA,Removed section of flat ea data,#014A Met-One
Coto de Caza,TRUE,33.62167,-117.585,245,257.8608,10/09/15 12:00 AM,12/31/18 12:00 AM,3.227992361,1168,,CIMIS,CA,Default corr,#014A Met-One
Markleeville,TRUE,38.77341,-119.792,246,1681.582,01/02/16 12:00 AM,12/31/18 12:00 AM,2.995270266,1091,"Station Tmax, Rs, uz, and ea are all slightly high",CIMIS,CA,Default corr,#014A Met-One
Jersey Island,TRUE,38.03339,-121.701,247,-3.6576,07/11/16 12:00 AM,12/31/18 12:00 AM,2.472330027,894,,CIMIS,CA,Removed a year of ea data that was too bad,#014A Met-One
Holt,TRUE,37.93218,-121.397,248,-0.9144,07/11/16 12:00 AM,12/31/18 12:00 AM,2.472330027,865,,CIMIS,CA,Default corr,#014A Met-One
Ripon,TRUE,37.7556,-121.266,249,6.096,07/11/16 12:00 AM,12/31/18 12:00 AM,2.472330027,887,,CIMIS,CA,Removed two sections of bad ea data,#014A Met-One
Williams,TRUE,39.21067,-122.169,250,21.0312,08/21/16 12:00 AM,12/31/18 12:00 AM,2.36007584,855,,CIMIS,CA,Default corr,#014A Met-One
Highland,TRUE,34.11204,-117.186,251,388.62,10/11/16 12:00 AM,12/31/18 12:00 AM,2.220442583,707,,CIMIS,CA,Default corr,#014A Met-One
Soledad II,TRUE,36.45673,-121.344,252,65.2272,09/03/16 12:00 AM,12/31/18 12:00 AM,2.324483049,844,,CIMIS,CA,Default corr,#014A Met-One
