CIMIS Station Number,Date of Image,"Description of Turf (good, poor, bad)",Area of green lawn immediately around station (m2),Maximum amount of green lawn (m2),Notes,"Use 360 Meter Polygon = 45 m around point of interest.360 is 8,100meters^2",,,,,,Total area of lawn surrounding station (m2)
200,04/2023,good,7536.35,7933,,,,,,,,
233,12/2005,bad,0,8100,,,,,,,,
233,01/2006,bad,0,8100,two images,,,,,,,
233,08/2007,bad,0,8100,,,,,,,,
233,06/2009,bad,0,8100,two images,,,,,,,
233,06/2011,bad,0,8100,,,,,,,,
233,09/2011,bad,0,8100,,,,,,,,
233,05/2012,bad,0,8100,,,,,,,,
233,03/2013,bad,0,8100,,,,,,,,
233,01/2015,bad,0,8100,,,,,,,,
233,07/2016,bad,0,8100,,,,,,,,
233,02/2018,bad,0,8100,,,,,,,,
233,08/2018,bad,0,8100,,,,,,,,
233,09/2018,bad,64,8100,small square,,,,,,,
233,12/2019,bad,0,8100,two images,,,,,,,
233,06/2021,bad,0,8100,,,,,,,,
233,05/2023,bad,0,8100,,,,,,,,
221,12/2005,bad,0,4940,pixilated,,,,,,,
221,02/2007,bad,0,4940,,,,,,,,
221,06/2009,bad,0,4940,,,,,,,,
221,03/2014,poor,4940,4940,,,,,,,,
221,08/2019,poor,3952,4940,,,,,,,,
241,03/2003,good,8100,8100,,,,,,,,
241,11/2003,good,8100,8100,,,,,,,,
241,12/2003,good,8100,8100,,,,,,,,
241,08/2005,good,8100,8100,,,,,,,,
241,12/2005,good,8100,8100,,,,,,,,
241,01/2006,good,8100,8100,,,,,,,,
241,02/2006,good,8100,8100,,,,,,,,
241,01/2008,good,8100,8100,,,,,,,,
241,06/2009,good,8100,8100,,,,,,,,
241,11/2009,good,8100,8100,,,,,,,,
241,09/2010,NA,NA,8100,,,,,,,,
241,03/2011,good,8100,8100,,,,,,,,
241,04/2013,good,7938,8100,,,,,,,,
241,11/2013,good,8019,8100,,,,,,,,
241,04/2014,good,7938,8100,two images,,,,,,,
241,03/2015,good,7938,8100,,,,,,,,
241,02/2016,poor,7695,8100,two images,,,,,,,
241,10/2016,good,7695,8100,two images,,,,,,,
241,03/2017,good,7695,8100,,,,,,,,
241,12/2017,poor,7695,8100,,,,,,,,
241,02/2018,poor,7695,8100,,,,,,,,
241,06/2018,poor,7776,8100,,,,,,,,
241,08/2018,good,7857,8100,,,,,,,,
241,05/2019,good,7938,8100,,,,,,,,
241,08/2019,bad,4050,8100,,,,,,,,
241,10/2020,NA,NA,8100,,,,,,,,
241,01/2021,bad,4050,8100,,,,,,,,
241,02/2021,good,7776,8100,,,,,,,,
241,08/2021,good,7938,8100,,,,,,,,
241,10/2021,good,7776,8100,,,,,,,,
241,04/2022,good,7776,8100,,,,,,,,
241,06/2022,poor,7695,8100,,,,,,,,
241,01/2023,good,8100,8100,,,,,,,,
62,12/2003,bad,704,7040,ASK IF WE COUNT TREES,,,,,,,
62,08/2005,bad,704,7040,,,,,,,,
62,10/2005,bad,704,7040,,,,,,,,
62,12/2005,bad,704,7040,,,,,,,,
62,01/2006,bad,704,7040,two images,,,,,,,
62,02/2006,bad,704,7040,,,,,,,,
62,06/2009,bad,704,7040,,,,,,,,
62,09/2010,bad,704,7040,,,,,,,,
62,03/2011,bad,1760,7040,,,,,,,,
62,06/2012,bad,704,7040,,,,,,,,
62,11/2013,bad,844.8,7040,,,,,,,,
62,04/2014,bad,1760,7040,,,,,,,,
62,02/2016,bad,2816,7040,,,,,,,,
62,10/2016,bad,774.4,7040,,,,,,,,
62,02/2018,bad,2464,7040,,,,,,,,
62,08/2018,bad,0,7040,,,,,,,,
62,08/2018,bad,704,7040,,,,,,,,
62,12/2018,bad,985.6,7040,,,,,,,,
62,08/2019,bad,704,7040,,,,,,,,
62,08/2021,bad,704,7040,,,,,,,,
62,07/2022,bad,0,7040,,,,,,,,
62,01/2023,poor,4224,7040,,,,,,,,
62,05/2023,bad,1337.6,7040,,,,,,,,
237,10/2003,bad,0,8100,,,,,,,,
237,10/2005,bad,0,8100,,,,,,,,
237,12/2005,bad,0,8100,,,,,,,,
237,01/2006,bad,0,8100,two images,,,,,,,
237,08/2006,NA,NA,8100,,,,,,,,
237,01/2007,bad,0,8100,,,,,,,,
237,06/2009,bad,0,8100,,,,,,,,
237,11/2009,bad,0,8100,,,,,,,,
237,03/2011,poor,6885,8100,,,,,,,,
237,06/2012,bad,0,8100,,,,,,,,
237,01/2013,good,445,8100,small box area around station with green,,,,,,,
237,11/2013,poor,355,8100,,,,,,,,
237,04/2014,bad,162,8100,,,,,,,,
237,02/2016,poor,2835,8100,,,,,,,,
237,10/2016,good,445,8100,,,,,,,,
237,02/2018,bad,810,8100,,,,,,,,
237,08/2018,poor,288,8100,two images ,,,,,,,
237,12/2018,poor,439,8100,,,,,,,,
237,08/2019,bad,0,8100,,,,,,,,
237,12/2020,good,445,8100,,,,,,,,
237,08/2021,good,445,8100,,,,,,,,
237,01/2023,good,445,8100,,,,,,,,
237,05/2023,good,445,8100,,,,,,,,
239,10/2003,good,7695,8100,,,,,,,,
239,10/2005,NA,NA,8100,,,,,,,,
239,12/2005,NA,NA,8100,,,,,,,,
239,01/2006,NA,NA,8100,,,,,,,,
239,12/2006,poor,6075,8100,,,,,,,,
239,06/2009,NA,NA,8100,,,,,,,,
239,11/2009,good,7695,8100,,,,,,,,
239,03/2011,poor,6075,8100,,,,,,,,
239,06/2012,poor,6318,8100,,,,,,,,
239,01/2013,bad,1620,8100,,,,,,,,
239,11/2013,bad,4050,8100,,,,,,,,
239,04/2014,bad,4050,8100,,,,,,,,
239,02/2016,bad,3240,8100,,,,,,,,
239,10/2016,bad,1620,8100,,,,,,,,
239,02/2018,bad,1458,8100,,,,,,,,
239,08/2018,bad,810,8100,,,,,,,,
239,12/2018,bad,1458,8100,,,,,,,,
239,08/2019,bad,0,8100,,,,,,,,
239,10/2019,bad,0,8100,,,,,,,,
239,08/2021,bad,0,8100,,,,,,,,
239,10/2021,bad,0,8100,,,,,,,,
239,02/2022,poor,6885,8100,,,,,,,,
239,09/2022,bad,0,8100,,,,,,,,
179,06/2003,good,4329,4329,,,,,,,,
179,10/2003,bad,0,4329,,,,,,,,
179,12/2003,good,4329,4329,,,,,,,,
179,12/2005,bad,0,4329,,,,,,,,
179,01/2006,bad,0,4329,two images,,,,,,,
179,08/2006,good,4329,4329,,,,,,,,
179,09/2006,bad,0,4329,,,,,,,,
179,01/2007,good,4329,4329,,,,,,,,
179,06/2009,good,4329,4329,,,,,,,,
179,11/2009,bad,0,4329,,,,,,,,
179,03/2011,bad,0,4329,,,,,,,,
179,06/2012,bad,389.61,4329,,,,,,,,
179,01/2013,bad,0,4329,,,,,,,,
179,03/2013,good,4329,4329,,,,,,,,
179,11/2013,good,4329,4329,,,,,,,,
179,04/2014,bad,0,4329,,,,,,,,
179,02/2016,bad,0,4329,,,,,,,,
179,10/2016,bad,779.22,4329,,,,,,,,
179,02/2018,bad,0,4329,,,,,,,,
179,08/2018,bad,0,4329,,,,,,,,
179,12/2018,good,4329,4329,,,,,,,,
179,08/2019,good,4112.55,4329,,,,,,,,
179,12/2020,bad,0,4329,,,,,,,,
179,08/2021,bad,0,4329,,,,,,,,
179,02/2022,bad,0,4329,,,,,,,,
179,01/2023,bad,0,4329,,,,,,,,
179,05/2023,good,4329,4329,,,,,,,,
245,12/2003,good,8100,8100,,,,,,,,
245,01/2004,good,7938,8100,,,,,,,,
245,08/2005,good,8100,8100,,,,,,,,
245,12/2005,good,8100,8100,,,,,,,,
245,01/2006,good,8100,8100,,,,,,,,
245,02/2006,good,8100,8100,,,,,,,,
245,03/2007,poor,6885,8100,,,,,,,,
245,06/2009,NA,NA,8100,,,,,,,,
245,11/2009,good,8100,8100,,,,,,,,
245,09/2010,NA,NA,8100,,,,,,,,
245,03/2011,good,8100,8100,,,,,,,,
245,06/2012,poor,6723,8100,,,,,,,,
245,03/2013,good,8100,8100,,,,,,,,
245,04/2013,good,8100,8100,,,,,,,,
245,11/2013,good,8100,8100,,,,,,,,
245,04/2014,bad,4050,8100,,,,,,,,
245,04/2014,bad,4050,8100,,,,,,,,
245,03/2015,poor,6480,8100,,,,,,,,
245,02/2016,bad,4455,8100,,,,,,,,
245,10/2016,good,7695,8100,,,,,,,,
245,03/2017,good,7533,8100,,,,,,,,
245,12/2017,poor,7209,8100,,,,,,,,
245,02/2018,bad,3240,8100,,,,,,,,
245,06/2018,good,7290,8100,,,,,,,,
245,08/2018,good,7290,8100,4 images,,,,,,,
245,05/2019,good,7776,8100,,,,,,,,
245,08/2019,bad,4860,8100,,,,,,,,
245,10/2020,NA,NA,8100,,,,,,,,
245,11/2020,NA,NA,8100,,,,,,,,
245,01/2021,NA,NA,8100,,,,,,,,
245,02/2021,bad,3645,8100,,,,,,,,
245,08/2021,good,7857,8100,,,,,,,,
245,11/2021,good,7695,8100,,,,,,,,
245,01/2022,bad,3645,8100,,,,,,,,
245,04/2022,good,7938,8100,,,,,,,,
245,06/2022,poor,6885,8100,,,,,,,,
245,01/2023,poor,6075,8100,,,,,,,,
240,12/2003,bad,0,8100,two images ,,,,,,,
240,10/2005,bad,0,8100,,,,,,,,
240,12/2005,bad,0,8100,,,,,,,,
240,01/2006,bad,0,8100,two images,,,,,,,
240,08/2006,bad,0,8100,,,,,,,,
240,06/2009,bad,0,8100,,,,,,,,
240,11/2009,bad,0,8100,,,,,,,,
240,03/2011,bad,0,8100,,,,,,,,
240,06/2012,bad,0,8100,,,,,,,,
240,11/2012,bad,0,8100,,,,,,,,
240,01/2013,bad,0,8100,two images,,,,,,,
240,11/2013,good,2191,8100,,,,,,,,
240,04/2012,good,2191,8100,,,,,,,,
240,02/2016,good,2191,8100,,,,,,,,
240,10/2016,good,2147.18,8100,,,,,,,,
240,02/2018,good,2147.18,8100,,,,,,,,
240,08/2018,good,2147.18,8100,4 images,,,,,,,
240,12/2018,good,2191,8100,,,,,,,,
240,08/2019,poor,1335,8100,,,,,,,,
240,08/2021,poor,1862.35,8100,,,,,,,,
240,02/2022,poor,2191,8100,,,,,,,,
240,01/2023,poor,2191,8100,,,,,,,,
240,04/2023,poor,2191,8100,,,,,,,,
75,12/2003,poor,762,762,,,,,,,,
75,01/2004,poor,762,762,,,,,,,,
75,03/2004,NA,NA,762,,,,,,,,
75,04/2004,NA,NA,762,,,,,,,,
75,04/2005,poor,762,762,,,,,,,,
75,08/2005,good,762,762,,,,,,,,
75,12/2005,good,762,762,,,,,,,,
75,01/2006,good,762,762,,,,,,,,
75,03/2007,bad,0,762,,,,,,,,
75,06/2009,good,762,762,,,,,,,,
75,11/2009,good,762,762,,,,,,,,
75,09/2010,good,762,762,,,,,,,,
75,03/2011,good,762,762,,,,,,,,
75,03/2013,good,762,762,,,,,,,,
75,04/2013,good,762,762,,,,,,,,
75,12/2013,good,762,762,,,,,,,,
75,04/2014,good,762,762,,,,,,,,
75,03/2015,good,762,762,,,,,,,,
75,02/2016,poor,571.5,762,,,,,,,,
75,10/2016,good,762,762,,,,,,,,
75,12/2017,good,762,762,,,,,,,,
75,04/2018,good,762,762,,,,,,,,
75,06/2018,good,746.76,762,,,,,,,,
75,08/2018,bad,0,762,,,,,,,,
75,05/2019,bad,495.3,762,,,,,,,,
75,03/2020,good,731.52,762,,,,,,,,
75,10/2020,bad,0,762,two images ,,,,,,,
75,11/2020,bad,0,762,,,,,,,,
75,12/2020,bad,0,762,,,,,,,,
75,01/2021,bad,0,762,,,,,,,,
75,02/2021,poor,762,762,,,,,,,,
75,07/2021,bad,0,762,,,,,,,,
75,08/2021,bad,0,762,,,,,,,,
75,10/2021,bad,0,762,,,,,,,,
75,11/2021,bad,0,762,,,,,,,,
75,01/2022,bad,0,762,,,,,,,,
75,01/2023,good,762,762,,,,,,,,
75,05/2023,bad,0,762,,,,,,,,
44,11/2003,good,2034,2034,,,,,,,,
44,12/2002,good,2034,2034,,,,,,,,
44,01/2004,NA,NA,2034,,,,,,,,
44,09/2004,good,2034,2034,,,,,,,,
44,10/2004,good,2034,2034,,,,,,,,
44,12/2005,good,2034,2034,,,,,,,,
44,01/2006,good,2034,2034,two images,,,,,,,
44,06/2006,good,2034,2034,,,,,,,,
44,08/2006,NA,NA,2034,,,,,,,,
44,06/2009,good,2034,2034,,,,,,,,
44,11/2009,good,1830.6,2034,,,,,,,,
44,03/2011,good,1830.6,2034,,,,,,,,
44,06/2012,poor,1627.2,2034,,,,,,,,
44,11/2012,good,2034,2034,,,,,,,,
44,11/2013,good,1972.98,2034,,,,,,,,
44,04/2014,good,2034,2034,,,,,,,,
44,02/3016,good,2034,2034,,,,,,,,
44,10/2016,good,2034,2034,,,,,,,,
44,03/2017,good,2034,2034,,,,,,,,
44,02/2018,good,2034,2034,,,,,,,,
44,08/2018,good,2034,2034,,,,,,,,
44,08/2019,good,2034,2034,,,,,,,,
44,04/2020,good,2034,2034,,,,,,,,
44,01/2021,poor,2034,2034,,,,,,,,
44,08/2021,good,2034,2034,,,,,,,,
44,04/2023,good,2034,2034,,,,,,,,
174,03/2003,good,8100,8100,,,,,,,,
174,05/2003,good,8100,8100,,,,,,,,
174,12/2003,poor,6480,8100,,,,,,,,
174,08/2005,good,8100,8100,,,,,,,,
174,11/2005,good,7857,8100,,,,,,,,
174,12/2005,good,7857,8100,,,,,,,,
174,01/2006,poor,6885,8100,,,,,,,,
174,03/2006,poor,6885,8100,,,,,,,,
174,07/2007,bad,4050,8100,,,,,,,,
174,07/2008,poor,6966,8100,,,,,,,,
174,06/2009,bad,4050,8100,,,,,,,,
174,11/2009,bad,3969,8100,,,,,,,,
174,09/2010,NA,NA,8100,,,,,,,,
174,03/2011,good,8100,8100,,,,,,,,
174,09/2011,poor,5670,8100,,,,,,,,
174,04/2013,poor,6885,8100,,,,,,,,
174,12/2013,bad,3645,8100,,,,,,,,
174,04/2014,bad,3969,8100,,,,,,,,
174,03/2015,poor,6723,8100,two images ,,,,,,,
174,02/2016,bad,4050,8100,two images ,,,,,,,
174,10/2016,bad,3240,8100,,,,,,,,
174,12/2017,bad,3240,8100,,,,,,,,
174,03/2018,bad,3807,8100,two images,,,,,,,
174,04/2018,bad,3807,8100,,,,,,,,
174,06/2018,bad,1620,8100,,,,,,,,
174,05/2019,poor,7209,8100,,,,,,,,
174,02/2020,poor,6480,8100,two images,,,,,,,
174,03/2020,good,7695,8100,three images,,,,,,,
174,04/2020,poor,6480,8100,two images,,,,,,,
174,05/2020,bad,3240,8100,,,,,,,,
174,12/2020,bad,0,8100,,,,,,,,
174,02/2021,bad,4050,8100,,,,,,,,
174,04/2021,bad,4860,8100,,,,,,,,
174,08/2021,bad,1215,8100,,,,,,,,
174,10/2021,bad,810,8100,,,,,,,,
174,07/2022,bad,1215,8100,,,,,,,,
174,01/2023,poor,6075,8100,,,,,,,,
255,10/2003,bad,0,8100,,,,,,,,
255,12/2003,poor,6318,8100,,,,,,,,
255,03/2004,good,8100,8100,,,,,,,,
255,04/2004,good,8100,8100,,,,,,,,
255,05/2004,bad,0,8100,,,,,,,,
255,06/2004,bad,0,8100,,,,,,,,
255,04/2005,bad,0,8100,,,,,,,,
255,12/2005,bad,4455,8100,,,,,,,,
255,01/2006,poor,5670,8100,,,,,,,,
255,02/2006,poor,5670,8100,,,,,,,,
255,08/2006,bad,0,8100,,,,,,,,
255,12/2006,poor,5670,8100,,,,,,,,
255,04/2007,bad,0,8100,,,,,,,,
255,06/2007,bad,0,8100,,,,,,,,
255,10/2007,bad,0,8100,,,,,,,,
255,06/2009,good,7938,8100,two images,,,,,,,
255,11/2009,bad,0,8100,,,,,,,,
255,03/2011,good,8100,8100,,,,,,,,
255,03/2013,bad,0,8100,,,,,,,,
255,04/2013,bad,0,8100,,,,,,,,
255,04/2014,bad,0,8100,,,,,,,,
255,03/2015,good,8100,8100,,,,,,,,
255,02/2016,good,8100,8100,,,,,,,,
255,10/2016,bad,0,8100,,,,,,,,
255,03/2017,bad,0,8100,,,,,,,,
255,12/2017,good,8100,8100,,,,,,,,
255,02/2018,poor,8100,8100,,,,,,,,
255,06/2018,good,8100,8100,,,,,,,,
255,09/2018,bad,4617,8100,,,,,,,,
255,05/2019,good,8100,8100,,,,,,,,
255,04/2020,bad,0,8100,,,,,,,,
255,10/2020,bad,0,8100,,,,,,,,
255,11/2020,bad,0,8100,,,,,,,,
255,01/2021,bad,0,8100,,,,,,,,
255,02/2021,bad,0,8100,,,,,,,,
255,08/2021,poor,5670,8100,,,,,,,,
255,06/2022,poor,5670,8100,,,,,,,,
255,05/2023,bad,0,8100,,,,,,,,
251,10/2003,bad,0,8100,,,,,,,,
251,12/2003,bad,0,8100,two images,,,,,,,
251,01/2004,bad,0,8100,,,,,,,,
251,12/2005,poor,8100,8100,,,,,,,,
251,01/2006,bad,0,8100,,,,,,,,
251,01/2006,poor,8100,8100,,,,,,,,
251,08/2006,NA,NA,8100,,,,,,,,
251,12/2006,poor,8100,8100,,,,,,,,
251,04/2007,good,7614,8100,,,,,,,,
251,06/2009,bad,3240,8100,two images,,,,,,,
251,11/2009,bad,4293,8100,,,,,,,,
251,03/2011,poor,7938,8100,,,,,,,,
251,06/2012,bad,3969,8100,,,,,,,,
251,11/2013,bad,3240,8100,,,,,,,,
251,04/2014,poor,6885,8100,,,,,,,,
251,02/2016,bad,3807,8100,,,,,,,,
251,10/2016,bad,4536,8100,,,,,,,,
251,02/2018,good,6966,8100,,,,,,,,
251,08/2018,good,7290,8100,,,,,,,,
251,12/2018,bad,1620,8100,,,,,,,,
251,03/2019,poor,7290,8100,,,,,,,,
251,08/2019,poor,4617,8100,,,,,,,,
251,04/2020,good,7938,8100,,,,,,,,
251,08/2020,bad,4050,8100,,,,,,,,
251,01/2021,bad,1620,8100,,,,,,,,
251,04/2021,bad,4860,8100,,,,,,,,
251,08/2021,good,7695,8100,,,,,,,,
251,09/2022,good,7776,8100,,,,,,,,
251,05/2023,poor,7047,8100,,,,,,,,
199,11/2003,NA,NA,8100,,,,,,,,
199,12/2005,good,8100,8100,,,,,,,,
199,01/2006,bad,0,8100,,,,,,,,
199,06/2009,good,8100,8100,,,,,,,,
199,06/2009,bad,1620,8100,,,,,,,,
199,03/2013,poor,6318,8100,,,,,,,,
199,04/2014,NA,NA,8100,,,,,,,,
199,01/2015,NA,NA,8100,SNOW,,,,,,,
199,09/2016,poor,7128,8100,,,,,,,,
199,06/2017,good,8100,8100,,,,,,,,
199,12/2017,bad,4050,8100,,,,,,,,
199,08/2018,good,8100,8100,,,,,,,,
199,12/2019,bad,4050,8100,,,,,,,,
199,04/2022,NA,NA,8100,,,,,,,,
199,08/2020,NA,NA,8100,,,,,,,,
199,10/2020,good,8100,8100,,,,,,,,
199,02/2022,NA,NA,8100,SNOW,,,,,,,
199,05/2022,good,7695,8100,,,,,,,,
199,05/2023,good,7695,8100,two images,,,,,,,
78,12/2003,good,2944,8100,,,,,,,,
78,03/2004,poor,8100,8100,,,,,,,,
78,04/2004,poor,8100,8100,,,,,,,,
78,08/2005,poor,6480,8100,,,,,,,,
78,12/2005,NA,NA,8100,,,,,,,,
78,03/3006,good,2986,8100,,,,,,,,
78,10/2007,NA,NA,8100,,,,,,,,
78,07/2008,good,3240,8100,,,,,,,,
78,06/3009,NA,NA,8100,,,,,,,,
78,11/2009,good,3240,8100,,,,,,,,
78,03/2011,good,3240,8100,,,,,,,,
78,03/2013,poor,3240,8100,,,,,,,,
78,04/2013,poor,3078,8100,,,,,,,,
78,05/2013,NA,NA,8100,balack and ehite ,,,,,,,
78,02/2014,NA,NA,8100,balck and red ,,,,,,,
78,04/2014,poor,3240,8100,,,,,,,,
78,03/2015,poor,6749,8100,,,,,,,,
78,02/2016,good,6749,8100,,,,,,,,
78,10/2016,poor,3240,8100,,,,,,,,
78,03/2017,good,6749,8100,,,,,,,,
78,12/2017,poor,6749,8100,,,,,,,,
78,03/2018,good,6749,8100,,,,,,,,
78,06/2018,good,3240,8100,,,,,,,,
78,09/2018,NA,NA,8100,,,,,,,,
78,05/2019,poor,6749,8100,,,,,,,,
78,05/2019,poor,6749,8100,,,,,,,,
78,03/2020,NA,NA,8100,,,,,,,,
78,09/2020,NA,NA,8100,,,,,,,,
78,01/2021,NA,NA,8100,moved,,,,,,,
78,02/2021,good,8100,8100,,,,,,,,
78,04/2021,good,8100,8100,,,,,,,,
78,08/2021,poor,6480,8100,,,,,,,,
78,01/2022,poor,8100,8100,,,,,,,,
78,05/2022,bad,5670,8100,,,,,,,,
78,06/2022,bad,4050,8100,,,,,,,,
78,07/2022,poor,6885,8100,,,,,,,,
78,08/2022,poor,6885,8100,,,,,,,,
78,05/2023,poor,6885,8100,,,,,,,,
117,06/2003,bad,1600.2,3810,,,,,,,,
117,10/2003,bad,3402,3810,,,,,,,,
117,11/2003,bad,3402,3810,,,,,,,,
117,12/2005,bad,3402,3810,,,,,,,,
117,01/2006,bad,3402,3810,,,,,,,,
117,06/2009,bad,4302,3810,,,,,,,,
117,03/2013,bad,190.5,3810,,,,,,,,
117,01/2015,bad,3402,3810,,,,,,,,
117,09/2016,bad,1524,3810,,,,,,,,
117,03/2017,bad,1524,3810,,,,,,,,
117,06/2017,bad,1447.8,3810,,,,,,,,
117,12/2017,bad,685.8,3810,,,,,,,,
117,08/2018,bad,1524,3810,,,,,,,,
117,10/2022,bad,1714.5,3810,,,,,,,,
117,05/2022,bad,1028.7,3810,,,,,,,,
117,06/2022,NA,NA,3810,,,,,,,,
117,08/2022,bad,1409.7,3810,,,,,,,,
117,04/2023,bad,1409.7,3810,,,,,,,,
117,05/2023,bad,1524,3810,,,,,,,,
159,12/2003,good,3959,3959,,,,,,,,
159,03/2005,good,3959,3959,,,,,,,,
159,12/2005,NA,NA,3959,,,,,,,,
159,03/2006,poor,3959,3959,,,,,,,,
159,10/2007,bad,1979.5,3959,,,,,,,,
159,07/2008,good,3959,3959,,,,,,,,
159,06/2009,bad,1979.5,3959,,,,,,,,
159,11/2009,good,3959,3959,,,,,,,,
159,03/2011,poor,3959,3959,,,,,,,,
159,04/2013,poor,3127.61,3959,,,,,,,,
159,04/2014,bad,0,3959,,,,,,,,
159,03/2015,bad,395.9,3959,,,,,,,,
159,02/2016,good,3959,3959,,,,,,,,
159,06/2016,NA,NA,3959,black and white ,,,,,,,
159,10/2016,bad,0,3959,,,,,,,,
159,03/2017,bad,0,3959,,,,,,,,
159,12/2017,bad,0,3959,,,,,,,,
159,03/2018,poor,2771.3,3959,,,,,,,,
159,06/2018,bad,0,3959,,,,,,,,
159,08/2018,bad,0,3959,,,,,,,,
159,09/2018,bad,0,3959,,,,,,,,
159,02/2019,good,3959,3959,,,,,,,,
159,05/2019,bad,0,3959,two images,,,,,,,
159,02/2020,bad,0,3959,,,,,,,,
159,05/2020,bad,0,3959,,,,,,,,
159,07/2020,bad,0,3959,,,,,,,,
159,09/2020,bad,0,3959,3 images,,,,,,,
159,11/2020,bad,0,3959,,,,,,,,
159,02/2021,good,3761.05,3959,,,,,,,,
159,08/2021,bad,0,3959,,,,,,,,
159,04/2022,bad,0,3959,,,,,,,,
99,12/2003,good,2681,2681,,,,,,,,
99,12/2004,good,2681,2681,,,,,,,,
99,11/2005,good,2681,2681,,,,,,,,
99,12/2005,good,2681,2681,,,,,,,,
99,03/2005,good,2600.57,2681,,,,,,,,
99,07/2007,bad,1340.5,2681,,,,,,,,
99,10/2007,good,2681,2681,,,,,,,,
99,07/2008,good,2681,2681,,,,,,,,
99,06/2009,good,2681,2681,,,,,,,,
99,11/2009,good,2681,2681,,,,,,,,
99,4/2011,poor,2546.95,2681,,,,,,,,
99,10/2011,good,2681,2681,,,,,,,,
99,08/2012,poor,2546.95,2681,,,,,,,,
99,08/2013,NA,NA,2681,,,,,,,,
99,12/2013,poor,2681,2681,,,,,,,,
99,08/2014,poor,2144.8,2681,,,,,,,,
99,05/2015,bad,536.2,2681,,,,,,,,
99,02/2016,bad,402.15,2681,,,,,,,,
99,04/2016,bad,804.3,2681,,,,,,,,
99,07/2016,bad,1072.4,2681,,,,,,,,
99,10/2016,bad,1340.5,2681,,,,,,,,
99,08/2017,good,2681,2681,,,,,,,,
99,10/2017,bad,1474.55,2681,,,,,,,,
99,12/2017,bad,1072.4,2681,,,,,,,,
99,01/2018,nbad,1072.4,2681,,,,,,,,
99,03/2018,poor,2681,2681,,,,,,,,
99,08/2018,bad,1554.98,2681,,,,,,,,
99,10/2018,good,2681,2681,,,,,,,,
99,11/2018,good,2681,2681,,,,,,,,
99,08/2019,bad,1474.55,2681,,,,,,,,
99,10/2019,NA,NA,2681,,,,,,,,
99,01/2020,good,2681,2681,,,,,,,,
99,03/2020,good,2681,2681,,,,,,,,
99,03/2021,poor,2412.9,2681,,,,,,,,
99,09/2021,bad,1554.98,2681,,,,,,,,
99,02/2022,poor,2412.9,2681,,,,,,,,
224,7/2004,poor,6484.8,8106,blurry image,,,,,,,
224,6/2005,bad,810.6,8106,,,,,,,,
224,7/2005,bad,810.6,8106,,,,,,,,
224,12/2005,bad,2431.8,8106,blurry images,,,,,,,
224,6/2006,poor,3242.4,8106,2 images,,,,,,,
224,8/2006,bad,810.6,8106,"bad quality image, blurry. 2 images",,,,,,,
224,11/2006,good,8106,8106,,,,,,,,
224,7/2007,bad,810.6,8106,,,,,,,,
224,6/2009,poor,2431.8,8106,,,,,,,,
224,8/2010,good,5674.2,8106,,,,,,,,
224,9/2010,good,6484.8,8106,,,,,,,,
224,7/2011,bad,810.6,8106,,,,,,,,
224,8/2012,bad,0,8106,,,,,,,,
224,8/2013,poor,4863.6,8106,,,,,,,,
224,4/2015,good,7295.4,8106,,,,,,,,
224,8/2016,good,7295.4,8106,Image looks the same as previous year (4/2015),,,,,,,
224,5/2017,bad,0,8106,,,,,,,,
224,6/2018,bad,810.6,8106,,,,,,,,
224,7/2018,bad,810.6,8106,"image quality is in a tint of red, bad quality",,,,,,,
224,8/2018,bad,810.6,8106,cloudy day maybe?,,,,,,,
224,2/2020,bad,810.6,8106,Image looks the same as previous year (8/2018),,,,,,,
224,4/2021,poor,3242.4,8106,,,,,,,,
224,6/2022,poor,3242.4,8106,,,,,,,,
224,4/2023,poor,5674.2,8106,,,,,,,,
259,7/2004,good,8106,8106,,,,,,,,
259,8/2004,good,6484.8,8106,,,,,,,,
259,8/2005,good,8106,8106,,,,,,,,
259,12/2005,good,7992,8106,,,,,,,,
259,9/2006,good,7949,8106,,,,,,,,
259,6/2009,good,8106,8106,,,,,,,,
259,7/2009,good,8106,8106,,,,,,,,
259,8/2009,good,8106,8106,,,,,,,,
259,9/2010,poor,3242.4,8106,,,,,,,,
259,6/2011,good,8106,8106,,,,,,,,
259,5/2012,poor,2431.8,8106,,,,,,,,
259,8/2012,good,8106,8106,,,,,,,,
259,5/2014,poor,2431.8,8106,,,,,,,,
259,5/2016,good,7295.4,8106,,,,,,,,
259,6/2016,good,7295.4,8106,,,,,,,,
259,5/2019,good,8106,8106,,,,,,,,
259,11/2022,good,8106,8106,,,,,,,,
259,12/2022,n/a,n/a,8106,black and white image,,,,,,,
259,5/2023,good,6484.8,8106,,,,,,,,
267,7/2004,good,6246.4,7808,Seems like two agriculture fields next to each other,,,,,,,
267,8/2005,good,7808,7808,,,,,,,,
267,12/2005,good,7417.6,7808,,,,,,,,
267,8/2006,good,7027.2,7808,2 images,,,,,,,
267,6/2009,good,6246.4,7808,,,,,,,,
267,6/2012,good,6246.4,7808,,,,,,,,
267,8/2012,good,6246.4,7808,,,,,,,,
267,3/2014,bad,1171.2,7808,,,,,,,,
267,7/2019,good,7417.6,7808,,,,,,,,
267,8/2019,good,7417.6,7808,,,,,,,,
267,10/2020,bad,780.8,7808,,,,,,,,
222,7/2004,good,8100,8100,blurry image,,,,,,,
222,5/2005,good,8100,8100,,,,,,,,
